##XYZ
##   input data of hopping integrals t(x,y;mu,nu)
##
# mu nu      [1,0]  [1,1]  [2.0]  [2,1]  [2,2]
############################################
  1 1        -0.7    0.0   -0.4    0.2   -0.1
  1 2        -0.8    0.0    0.0    0.0    0.0  
  1 3         0.8   -1.5    0.0    0.0   -0.3
  1 4         0.0    1.7    0.0    0.0   -0.1
  1 5        -3.0    0.0    0.0   -0.2    0.0
#############################################
  2 2        -2.1    1.5    0.0    0.0    0.0
  2 3         1.3    0.0    0.2   -0.2    0.0
  2 4         1.7    0.0    0.0    0.2    0.0
  2 5        -2.5    1.4    0.0    0.0    0.0
#############################################
  3 3        -2.1    3.3    0.0   -0.3    0.7
  3 4         1.7    0.2    0.0    0.2    0.0
  3 5         2.5    0.0    0.0    0.3    0.0
#############################################
  4 4         1.6    1.2   -0.3   -0.3   -0.3
  4 5         0.0    0.0    0.0   -0.1    0.0
#############################################
  5 5         3.1   -0.7   -0.2    0.0    0.0
#############################################
END_OF_HOPPING_DATA
on-site
1  10.75
2  10.96
3  10.96
4  11.12
5  10.62
END_OF_ON-SITE_DATA

Dkshift 0.0d0 0.0d0

END_OF_DATA

## 1111 XYZ Kuroki data

